name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
Parc de l'Espanya Industrial,428074.97663729,4580914.3323903,41.37653564822331,2.139874006322372
Seu del Districte de Sant Andreu,432379.1251577986,4587478.245657705,41.43602805111317,2.190607338298738
Santa Església Catedral Basílica de Barcelona,431118.7485620572,4581746.448291292,41.384296570811145,2.1761751314006545
La plaça de John Lennon,429914.5368370832,4583819.130822889,41.40286050125628,2.1615342716775845
La plaça de Nicolás Salmerón,429570.4712917344,4583284.153969362,41.39801209292751,2.157480714601559
La Pedrera Romana,428538.5902795377,4578759.45891906,41.357168740446966,2.145671534709044
Torre de l'Aigua,429138.0323515645,4583959.119295827,41.40405325796555,2.152229161692367
La Rambla del Raval,430527.99942791415,4581151.318978839,41.37888562756235,2.1691786660708967
Xemeneia de Can Galta Cremat,432142.312352424,4587992.066605086,41.440635877473454,2.187715361234582
Les Carasses,432424.2506011444,4588069.982902568,41.44136142057692,2.1910812403192512
"Xemeneia de l'antiga Fábrica ""La Porcelana""",428460.1466681278,4580520.94870103,41.3730269153328,2.144526050663452
La plaça del Raspall,429843.2465653323,4583648.143475757,41.401314262013386,2.160701296482157
La Plaça del Setge de 1714,429842.49619961344,4580641.187816944,41.3742315617575,2.161040561834341
Casa Sant Felip Neri,427346.2349544041,4583051.78576547,41.39572136064741,2.130903870123052
El barri Plus Ultra,428153.79594160616,4579143.659084854,41.360594861404536,2.14102627404691
Antiga Biblioteca Pública de Sant Andreu de Palomar,432375.0471801606,4587563.964821829,41.43679975051144,2.1905489388615904
L'Aqüeducte Palombarum,432596.9869953259,4587719.199353893,41.43821655449944,2.193187925153491
Antic Monòlit Dedicat a la Legión Condor,427019.20054157067,4582267.803436201,41.38863075155167,2.127086735020199
Cansaladeria Puig,432259.9684046709,4587028.286017658,41.431965377634455,2.1892316530910487
"L'antic Putxet. Els carrers Manacor, Cadis i Putxet",428301.9514703458,4583976.008954899,41.40413124648984,2.142225615431341
Passatge de Sant Felip,428708.9635347633,4583888.933890137,41.40338319158916,2.1471047244543726
La plaça Molina,428675.6779074743,4583656.115153778,41.40128333249604,2.146733983621581
Parc Esportiu de Can Dragó,431757.272178684,4587546.819864842,41.436593069404815,2.183157005742885
Torre de Sant Jordi,428589.5544476594,4585053.959504994,41.413865507094485,2.145538840084051
Villa Conchita o Casa dels Metges,428841.557875329,4585645.232794255,41.41921321493736,2.148484310850028
Carrer Sant Gervasi de Cassoles,428075.1856717365,4583983.414834525,41.40417769240352,2.139512069189189
Teatre Nacional de Catalunya,431965.1099895695,4583450.626835787,41.39971763958852,2.1861052566703805
Jardins de Joan Brossa,430168.733,4580020.648,41.36867092135471,2.165012850406953
Castell de Montjuïc,430340.8185791432,4579551.928555504,41.36446421195711,2.1671241451784176
Jardins Laribal,429622.02648506215,4579965.193371069,41.36812384413011,2.158482875531215
Casernes d'Artilleria  de Sant Andreu,432379.06398161495,4588358.694081569,41.44395793480301,2.19050806677001
L'Estació dels FGC de Sarrià,426856.3456517937,4583342.030828641,41.39829106263617,2.1250093275396296
Mercat Sarrià,426499.7880780594,4583517.168043066,41.3998359320904,2.1207231796604997
Mercat Abaceria Central,430135.96867873694,4583853.189536537,41.40318652868216,2.164179164252221
Cementiri Sant Gervasi,427005.8238899336,4584768.847946617,41.4111553532629,2.1266252111412056
Cementiri d'Horta,429498.0990086809,4587993.858047135,41.4404241840174,2.156066057589673
Escultura Fray Pedro Ponce de León,430039.3995886436,4583989.244189697,41.40440352665176,2.163008249478441
Casa Martí - Els Quatre Gats,430898.409663895,4581942.113336879,41.38603997054996,2.1735178081132696
Jardins,430105.7503552875,4582009.345517869,41.3865770289631,2.16403049732852
Jardins Plaça de Can Fabra,432472.51666145,4587355.00398294,41.434925914293984,2.191738858342075
L'avinguda del Tibidabo,427874.0744737985,4584691.238889567,41.41053474585558,2.1370219362887046
El Passeig de Gràcia,430042.83,4582830.664,41.39396889918061,2.163183157188379
